product_name,product_id,sale_date,qty,sales_amount,currency,source
Latte,8,03/01/2024,1,38.7,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/01/2024,1,38.7,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/01/2024,1,38.7,PHP,Kaggle Coffee Sales
Americano,1,03/01/2024,1,28.9,PHP,Kaggle Coffee Sales
Latte,8,03/01/2024,1,38.7,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/01/2024,1,33.8,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/01/2024,1,38.7,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/01/2024,1,33.8,PHP,Kaggle Coffee Sales
Cocoa,4,03/01/2024,1,38.7,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/01/2024,1,33.8,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/01/2024,1,33.8,PHP,Kaggle Coffee Sales
Americano,1,03/02/2024,1,28.9,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/02/2024,1,33.8,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/02/2024,1,33.8,PHP,Kaggle Coffee Sales
Americano,1,03/02/2024,1,28.9,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/02/2024,1,33.8,PHP,Kaggle Coffee Sales
Americano,1,03/02/2024,1,28.9,PHP,Kaggle Coffee Sales
Latte,8,03/03/2024,1,38.7,PHP,Kaggle Coffee Sales
Cortado,5,03/03/2024,1,28.9,PHP,Kaggle Coffee Sales
Americano,1,03/03/2024,1,28.9,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/03/2024,1,38.7,PHP,Kaggle Coffee Sales
Cocoa,4,03/03/2024,1,38.7,PHP,Kaggle Coffee Sales
Cortado,5,03/03/2024,1,28.9,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/03/2024,1,33.8,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/03/2024,1,33.8,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/03/2024,1,38.7,PHP,Kaggle Coffee Sales
Latte,8,03/04/2024,1,38.7,PHP,Kaggle Coffee Sales
Latte,8,03/04/2024,1,38.7,PHP,Kaggle Coffee Sales
Americano With Milk,2,03/04/2024,1,33.8,PHP,Kaggle Coffee Sales
Espresso,6,03/04/2024,1,24,PHP,Kaggle Coffee Sales
Latte,8,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Latte,8,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Latte,8,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Cocoa,4,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Cortado,5,03/05/2024,1,28.9,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/05/2024,1,38.7,PHP,Kaggle Coffee Sales
Americano,1,03/06/2024,1,28.9,PHP,Kaggle Coffee Sales
Cortado,5,03/06/2024,1,28.9,PHP,Kaggle Coffee Sales
Cappuccino,3,03/06/2024,1,38.7,PHP,Kaggle Coffee Sales
Cappuccino,3,03/06/2024,1,38.7,PHP,Kaggle Coffee Sales
Hot Chocolate,7,03/07/2024,1,38.7,PHP,Kaggle Coffee Sales
